rank,holderId,legacyV1Address,etherscanLabel,holderType,isContractAtSnapshot,codeBytesAtSnapshot,v1RawAmount,v1Amount,v2RawAmount,v2Amount,conversionRule,proposedDisposition,dispositionReason,draftThresholdEligible,destinationAddress,addressOverride,addressOverrideProofHash,ownerDecision,ownerDecisionReference,draftBatch,draftIndexInBatch,sourceAllocationId,sourceSafe,status
163,v1-mainnet-0163,0x562e239e49a7d05cd2fb2b7eef021ba6b39ee2e7,,EOA_CANDIDATE,False,0,8651600000000,8.651600000000,8651600000000000000,8.651600000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
164,v1-mainnet-0164,0x10b1b47af2935725416da9f1bf36de358f37a170,,EOA_CANDIDATE,False,0,8635600000000,8.635600000000,8635600000000000000,8.635600000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
165,v1-mainnet-0165,0xae2cec759185f6ffd91462c4da5937ad2120ef1f,,EOA_CANDIDATE,False,0,8627000000000,8.627000000000,8627000000000000000,8.627000000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
166,v1-mainnet-0166,0x7c2d1fe76f61e37dd76ad663080b8f6b87c1cd45,,EOA_CANDIDATE,False,0,8571300000000,8.571300000000,8571300000000000000,8.571300000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
167,v1-mainnet-0167,0xc71d19f26dc1f2782b4c4f624b89cf903fe14cc4,,EOA_CANDIDATE,False,0,8539700000000,8.539700000000,8539700000000000000,8.539700000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
168,v1-mainnet-0168,0x2d4d9cd53ed809199ccc3d08a3537f508a821b9b,,EOA_CANDIDATE,False,0,8529500000000,8.529500000000,8529500000000000000,8.529500000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
169,v1-mainnet-0169,0xf3fe25fb687b547578fb52a44568dc992fac4d71,,EOA_CANDIDATE,False,0,8507100000000,8.507100000000,8507100000000000000,8.507100000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
170,v1-mainnet-0170,0xacd2757fd4793a684fa050af943759109b5aadb6,,EOA_CANDIDATE,False,0,8503500000000,8.503500000000,8503500000000000000,8.503500000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
171,v1-mainnet-0171,0xf2192a221c0199ea818878f83fdf525303bce34c,,EOA_CANDIDATE,False,0,8432800000000,8.432800000000,8432800000000000000,8.432800000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
172,v1-mainnet-0172,0x92a6623ec1d20ff8980fc882a267b0059fb64a86,,EOA_CANDIDATE,False,0,8429700000000,8.429700000000,8429700000000000000,8.429700000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
173,v1-mainnet-0173,0xc22109c59dfb49fddf6aa158761cdd8140a8bee5,,EOA_CANDIDATE,False,0,8425100000000,8.425100000000,8425100000000000000,8.425100000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
174,v1-mainnet-0174,0x6cde93d74709999fb1b4dfa12821f24db65cd675,,EOA_CANDIDATE,False,0,8417400000000,8.417400000000,8417400000000000000,8.417400000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
175,v1-mainnet-0175,0xe1b0372213407b350871e955173643ac31a5f8f3,,EOA_CANDIDATE,False,0,8412400000000,8.412400000000,8412400000000000000,8.412400000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
176,v1-mainnet-0176,0xb2d626aacc864be509446c874a73e408c929782e,,EOA_CANDIDATE,False,0,8412100000000,8.412100000000,8412100000000000000,8.412100000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
177,v1-mainnet-0177,0x2ba6fa1db1023d07a74c81c7151b5098e59b8c5a,,EOA_CANDIDATE,False,0,8411400000000,8.411400000000,8411400000000000000,8.411400000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
178,v1-mainnet-0178,0x8a838d7426cea8a2c9e95e041e38f3f2279c74fb,,EOA_CANDIDATE,False,0,8395800000000,8.395800000000,8395800000000000000,8.395800000000000000,v2RawAmount = v1RawAmount * 1000000 (12->18 decimals),PENDING_OWNER_ELIGIBILITY_APPROVAL,"Ordinary EOA candidate; inclusion still depends on V1 deprecation, threshold policy and owner approval.",False,,False,0x0000000000000000000000000000000000000000000000000000000000000000,PENDING,,,,OWNER_SELECTION_REQUIRED,OWNER_SELECTION_REQUIRED,DRAFT_NOT_EXECUTABLE
